mean,skewness,std_freq,kurtosis_psd,env_peak_freq_1,env_peak_freq_2,env_peak_freq_3,group1_amplitude_PC1,group2_shape_PC1,group3_frequency_PC1,fault_type
-0.0003056645653345,-0.0564681517414038,1947.792691559152,559.7783936996825,117.1875,3664.0625,3601.5625,-1.476398452318487,-1.617526847162665,2.352886501738951,N
-0.0013265249138247,-0.0860333434289692,1903.6508793662608,580.5880969091698,117.1875,125.0,3601.5625,-1.481058963944305,-1.8041848055907275,2.6372365925648835,N
-0.0015119797066593,-0.1254125046852764,1853.727472464225,623.9219513730135,117.1875,242.1875,4265.625,-1.4866653127004352,-1.7917070810193496,2.985064118546593,N
-0.0014848059554476,-0.0986106981631781,1864.00608078076,572.6463346117138,117.1875,125.0,4265.625,-1.4911901774683396,-1.7532704440528764,2.9489589957126943,N
-0.000946775626353,-0.0684600440162024,1898.063428600524,552.4852373659241,117.1875,125.0,4265.625,-1.4894330556970423,-1.7899785909419936,2.688622137469536,N
-0.0004153545926542,-0.0596600384981255,1921.5056749535704,594.72620643382,117.1875,242.1875,4265.625,-1.480869676004999,-1.7453368150220703,2.6172476056098333,N
-0.0003681442168327,-0.071162403744591,1953.1742913049325,570.5358631905444,117.1875,125.0,4265.625,-1.4826142652626717,-1.7313890469683086,2.58700876015783,N
-0.0009285701815637,-0.1088244326236179,1952.804143339264,542.1201299992034,117.1875,242.1875,4265.625,-1.4905941414103152,-1.9693282443391593,2.5261230671169317,N
-0.0026347637462412,-0.125000449729121,1925.065283096031,581.1466732567661,117.1875,242.1875,4265.625,-1.4775498242225724,-1.551520759387632,2.6701764083647146,N
-0.0033015856748244,-0.1140390099625796,1897.5026543673764,563.4578594601026,117.1875,4265.625,242.1875,-1.481070255295029,-1.5172147384637704,2.8527983327630793,N
-0.001622990512942,-0.0817582567051578,1908.95999646882,573.4347882229681,117.1875,4265.625,125.0,-1.4913033348151545,-1.9158234489055714,2.863214325924108,N
0.0003463851791733,-0.0491500358191408,1973.1001450833803,554.5510822107793,117.1875,242.1875,4265.625,-1.4884512908870544,-1.8057320845192437,2.6173502907496657,N
0.0004234814981696,-0.0105265481369362,1990.9853477113847,539.82608728688,117.1875,242.1875,4265.625,-1.4865283320897036,-1.8120252188771675,2.593666374622496,N
